name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor,viewing_angle,misc
Samsung UA43BU8000KLXL 43 inch Ultra HD 4K Smart LED TV,"₹45,490",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Hisense 43A6GE 43-inch Ultra HD 4K Smart LED TV,"₹20,990",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex-A53 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
iFFALCON U62 43 inch Ultra HD 4K Smart LED TV (iFF43U62),"₹23,999",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Sony Bravia 32W830K 32 inch HD Ready Smart LED TV,"₹26,990",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Vu GloLED 55 inch Ultra HD 4K Smart LED TV (55GloLED),"₹36,999",76,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"5 Speakers, 104 w Output","Glo AI Processor Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony Bravia X80K 75 inch Ultra HD 4K Smart LED TV (KD-75X80K),"₹1,58,490",75,"75 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Samsung UA55BU8000KLXL 55 inch Ultra HD 4K Smart LED TV,"₹59,000",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
LG UQ75 43 inch Ultra HD 4K Smart LED TV (43UQ7550PSF),"₹34,990",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Samsung Crystal 7 Series 55AU7600 55 inch Ultra HD 4K Smart LED TV,"₹49,290",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Sony Bravia X80K 65 inch Ultra HD 4K Smart LED TV (KD-65X80K),"₹91,990",77,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Samsung UA43AUE65AKXXL 2022 43 Inch Ultra HD 4K Smart LED TV,"₹31,499",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Crystal Processor 4K Processor, 1.5 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Xiaomi Redmi X43 43 inch Ultra HD 4K Smart LED TV,"₹26,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Cortex-A55 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung Crystal 43AU7700 43-inch Ultra HD 4K Smart LED TV,"₹36,880",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
Realme TV 32-inch HD Ready Smart LED TV,"₹13,999",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"4 Speakers, 24 w Output","MediaTek 6883 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Mi TV 5X 43-inch Ultra HD 4K Smart LED TV,"₹31,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core Cortex A55 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG C2 55 inch Ultra HD 4K OLED Smart TV (OLED55C2PSC),"₹1,13,990",81,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Supports Apps & Games
Acer AR43AR2851UDFL I Series 43-inch Ultra HD 4K Smart LED TV,"₹23,999",73,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","64bit Quad Core Processor Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 3 USB Ports"
Xiaomi Smart TV 5A 40 inch Full HD Smart LED TV,"₹21,999",54,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex A35 64-bit Quad Core Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Thomson 9R Pro 43PATH4545BL 43-inch Ultra HD 4K Smart LED TV,"₹19,499",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex A53 - 1.4 GHz Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung 32T4410 32-inch HD Ready LED Smart TV,"₹17,990",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
LG 32LM565BPTA 32-inch HD Ready Smart LED TV,"₹13,990",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output","Quad Core Processor, 1 GB RAM, 4 GB Storage",180 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
TCL P635 55 inch Ultra HD 4K Smart LED TV (55P635),"₹37,840",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
LG UQ80 55 inch Ultra HD 4K Smart LED TV (55UQ8040PSB),"₹51,990",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Sony Bravia KD-43W880K 43 inch Full HD Smart LED TV,"₹40,490",59,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",16 GB Storage,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
OnePlus Y1S 32 inch HD Ready Smart LED TV,"₹15,999",52,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Croma CRELE3101sBT24 24 Inch HD Ready LED TV,"₹4,444",32,"23.98 in, LED TV",1366 x 786 pixels,Smart TV: No,"2 Speakers, 16 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No,"60 Hz, 16:09 Ratio"
LG 43UM7790PTA 43-inch Ultra HD 4K Smart LED TV,"₹41,000",67,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 35 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Samsung UA32T4340AKXXL 32-inch HD Ready Smart LED TV,"₹13,490",44,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
SENS Dwinci 65 inch Ultra HD 4K Smart QLED TV (SENS65WGSQLED),"₹42,999",72,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Supports Apps & Games
Samsung S95B 65 inch Ultra HD 4K Smart OLED TV (QN65S95BAFXZA),"₹1,64,490",84,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output",Neural Quantum Processor 4K Processor,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Panasonic TH-32LS680DX 32 Inch Full HD Smart LED TV,"₹18,050",55,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
LG 32LQ6360PSA 32 inch Full HD Smart LED TV,"₹22,990",51,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
Sony Bravia X80K 43 inch Ultra HD 4K Smart LED TV (KD-43X80K),"₹64,590",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Sony Bravia KD-50X75K 50 inch 4K Ultra HD Smart LED TV,"₹57,940",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",16 GB Storage,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung UA55BU8570ULXL 55 inch 4K Ultra HD Smart LED TV,"₹61,950",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet","2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support,"50 Hz, 16:9 Ratio"
TCL P635 65 inch Ultra HD 4K Smart LED TV (65P635),"₹49,990",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Samsung UA32T4390AKXXL 32 Inch HD Ready Smart LED TV,"₹17,899",38,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output","2 HDMI Ports, 1 USB Ports",Supports Apps & Games,Screen Mirroring / Miracast Support
Vu GloLED 50 inch Ultra HD 4K Smart LED TV (50GloLED),"₹31,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"5 Speakers, 104 w Output","A.I. GLO  Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"1 HDMI Ports, 2 USB Ports"
Acer AR55AR2851UDFL I Series 55-inch Ultra HD 4K Smart LED TV,"₹32,999",75,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","64bit Quad Core Processor Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 3 USB Ports"
Panasonic TH-43LS680DX 43 Inch Full HD Smart LED TV,"₹32,490",52,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
OnePlus Y1S Pro 50 inch Ultra HD 4K Smart LED TV,"₹32,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Thomson Alpha 32ALPHA007BL 32 inch HD Ready Smart LED TV,"₹7,999",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core Processor-A35 x 4 Processor, 512 MB RAM, 4 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Haier LE50K7700HQGA 50 Inch Ultra HD 4K Smart LED TV,"₹37,750",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,20 w Output,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
BPL 55U-A4310 55-inch Ultra HD 4K Smart LED TV,"₹36,490",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 8 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
LG 55NANO83TPZ 55-inch Ultra HD 4K LED Smart TV,"₹69,999",75,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Vu 43UT 43-inch Ultra HD 4K Smart LED TV,"₹20,999",66,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Lloyd 43UX900D 43 inch Ultra HD 4K Smart QLED TV,"₹33,990",72,"43 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","64-bit Cortex-A55  Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
TCL P635 43 inch Ultra HD 4K Smart LED TV (43P635),"₹27,990",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","AIPQ 2.0 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
LG UQ75 55UQ7550PSF 55 inch Ultra HD 4K LED Smart TV,"₹50,180",64,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"1 HDMI Ports, 1 USB Ports",Screen Mirroring / Miracast Support
TCL 32S5205 32 Inch HD Ready Smart LED TV,"₹10,990",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Panasonic TH-43LX710DX 43-Inch Ultra HD 4K Smart LED TV,"₹38,990",71,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Haier LE55K7700HQGA 55 Inch Ultra HD 4K Smart LED TV,"₹43,000",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,20 w Output,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Samsung AUE60 43-inch Ultra HD 4K Smart LED TV (UA43AUE60AKLXL),"₹29,999",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Sansui JSW50ASUHD 50 inch Ultra HD 4K Smart LED TV,"₹26,999",71,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Thomson 9A Series 32PATH0011BL 32-inch HD Ready Smart LED TV,"₹8,999",51,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","ARM Cortex A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung 32T4310 32-inch HD Ready Smart LED TV,"₹15,990",38,32 in,1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
TCL 32S5400 32 inch Full HD Smart LED TV,"₹15,990",54,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",1.5 GB RAM,178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
Sansui JSW65GSQLED 65 inch Ultra HD 4K Smart QLED TV,"₹54,999",76,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG QNED81 55 inch Ultra HD 4K Smart QNED TV (55QNED81SQA),"₹82,490",51,"55 in, QNED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output",α7 Gen5 AI Processor 4K Processor,178 ° Viewing Angle,3D TV: No
Hisense 50A7H 50 inch Ultra HD 4K Smart LED TV,"₹31,990",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi X Series 50 inch 4K Ultra HD Smart LED TV,"₹33,499",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core A55 CPU
 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony Bravia X80K 50 inch Ultra HD 4K Smart LED TV (KD-50X80K),"₹66,015",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Sony KD-55X74K 55 inch Ultra HD 4K Smart LED TV,"₹57,990",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",4K Processor X1 Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Haier LE32K7200GA 32 Inch HD Ready Smart LED TV,"₹14,490",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Xiaomi Smart TV 5A 43 inch Full HD Smart LED TV,"₹24,999",54,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex A35 64-bit Quad Core Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Samsung UA50BU8000KLXL 50 inch Ultra HD 4K Smart LED TV,"₹51,500",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Samsung 32T4600 32-inch HD Ready Smart LED TV,"₹20,990",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
Samsung 32T4900 32-inch HD Ready Smart LED TV,"₹21,990",48,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"4 Speakers, 40 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
